wavelength	AM1.5G	GaInAs	AZO	reflected	transmitted
1.557E-06	270620000	0.593901043855908	0.05765086372363653	0.33148021876174344	0.016967873658712124
1.558E-06	268480000	0.6016671660767362	0.05774189860015224	0.32340571135063306	0.017185223972478483
1.559E-06	268080000	0.6094744967202261	0.057833268663749146	0.3152301253795882	0.01746210923643651
1.56E-06	265680000	0.6174019773462134	0.05792775562509298	0.306982484997815	0.017687782030878747
1.561E-06	270020000	0.6253833882123059	0.05802265083487241	0.2986219368663474	0.0179720240864744
1.562E-06	267560000	0.6334777691438799	0.05812055351539645	0.29019823460477073	0.018203442735952962
1.563E-06	266670000	0.6416485221419777	0.05822004752296528	0.28169425413110266	0.018437176203954294
1.564E-06	262640000	0.6498792408477027	0.05831993034553636	0.27307199682678523	0.0187288319799756
1.565E-06	267280000	0.658184379048729	0.05842229673814699	0.26442593206407494	0.018967392149049123
1.566E-06	262450000	0.6665097756076889	0.05852446558502423	0.2556984689555597	0.019267289851727182
1.567E-06	263080000	0.6749221600927106	0.058629259130949095	0.24693861636838624	0.019509964407954147
1.568E-06	257220000	0.6833772992631264	0.05873509755957618	0.23813359438465723	0.01975400879264025
1.569E-06	254520000	0.691825932907205	0.05884028286697691	0.22927285976939346	0.020060924456424645
